ID	name	lat	lon
1	BREST	48.383	-4.495
2	SWINOUJSCIE	53.917	14.233
3	SHEERNESS	51.446	0.743
5	HOLYHEAD	53.314	-4.620
7	CUXHAVEN 2	53.867	8.717
8	WISMAR 2	53.899	11.458
9	MAASSLUIS	51.917	4.250
10	SAN FRANCISCO	37.807	-122.465
11	WARNEMUNDE 2	54.170	12.103
12	NEW YORK	40.700	-74.013
13	TRAVEMUNDE	53.958	10.872
14	HELSINKI	60.154	24.956
15	LIVERPOOL GEORGES AND PRINCES PIERS	53.400	-3.000
16	LYOKKI	60.850	21.183
17	LYPYRTTI	60.600	21.233
18	JUNGFRUSUND	59.950	22.367
20	VLISSINGEN	51.442	3.596
21	ABERDEEN II	57.150	-2.083
22	HOEK VAN HOLLAND	51.977	4.120
23	DEN HELDER	52.964	4.745
24	DELFZIJL	53.326	6.933
25	HARLINGEN	53.176	5.409
26	LIEPAJA	56.533	20.983
27	UTO	59.783	21.367
28	RUSSARO	59.767	22.950
29	SODERSKAR	60.117	25.417
30	RONNSKAR	63.067	20.800
31	NEDRE SODERTALJE	59.200	17.617
32	IJMUIDEN	52.462	4.555
33	OSCARSBORG	59.678	10.605
34	TRONDHEIM	63.433	10.433
37	DAUGAVGRIVA	57.050	24.033
39	VENEZIA	45.417	12.333
41	POTI	42.167	41.683
42	SEVASTOPOL	44.617	33.533
43	MUMBAI	18.917	72.833
44	ADEN	12.788	44.974
45	KABELVAG	68.213	14.482
47	STAVANGER	58.974	5.730
48	KIDDERPORE	22.533	88.333
51	BATUMI	41.633	41.700
52	CASCAIS	38.683	-9.417
57	VAASA	63.082	21.571
58	BERGEN	60.398	5.320
59	GENOVA	44.400	8.900
61	MARSEILLE	43.279	5.354
62	OSLO	59.909	10.735
63	KOBBAKLINTAR	60.033	19.883
64	GDANSK/NOWY PORT	54.400	18.683
65	SYDNEY	-33.850	151.233
68	LANDSORT	58.742	17.865
69	OLANDS NORRA UDDE	57.366	17.097
70	KUNGSHOLMSFORT	56.105	15.589
71	HANKO	59.823	22.977
72	YSTAD	55.417	13.817
73	VARBERG	57.100	12.217
76	AARHUS	56.147	10.224
77	GRONSKAR	59.283	19.033
78	STOCKHOLM	59.324	18.082
79	OULU	65.040	25.418
80	ESBJERG	55.461	8.441
81	FREDERICIA	55.561	9.754
82	KOBENHAVN	55.705	12.600
83	VYBORG	60.700	28.733
84	LEMSTROM	60.100	20.017
86	YKSPIHLAJA	63.833	23.033
87	VENEZIA	45.417	12.350
88	RATAN	63.986	20.895
89	HIRTSHALS	57.596	9.964
90	BJORN	60.633	17.967
91	FREDERIKSHAVN	57.436	10.549
94	TONOURA	34.900	132.067
95	NORTH SHIELDS	55.007	-1.440
96	HALIFAX	44.667	-63.583
97	BACKEVIK	58.367	11.250
98	SLIPSHAVN	55.288	10.828
99	NEDRE GAVLE	60.683	17.167
104	CAGLIARI	39.200	9.167
105	NAPOLI	40.867	14.267
106	CIVITAVECCHIA	42.050	11.817
107	PALERMO	38.133	13.333
108	PORTO MAURIZIO	43.867	8.017
111	FREMANTLE	-32.066	115.748
112	FERNANDINA BEACH	30.672	-81.465
113	KORSOR	55.332	11.142
118	KLAIPEDA	55.700	21.133
119	HORNBAEK	56.091	12.458
120	GEDSER	54.573	11.926
122	DRAGHALLAN	62.367	17.533
126	TROIS-RIVIERES	46.333	-72.550
127	SEATTLE	47.602	-122.338
129	NAPOLI	40.867	14.267
130	ABURATSUBO	35.160	139.615
131	AYUKAWA	38.297	141.505
132	WAJIMA	37.406	136.900
133	HOSOJIMA	32.429	131.669
134	KUSHIMOTO	33.476	135.773
135	PHILADELPHIA	39.933	-75.142
136	DUNEDIN II	-45.879	170.513
137	PORT-SAINT-FRANCOIS	46.267	-72.617
138	POINTE-AU-PERE	48.517	-68.467
139	HANASAKI	43.283	145.583
140	STROMSTAD	58.950	11.183
142	SKURU	60.100	23.550
144	BATISCAN	46.500	-72.250
145	MANILA	14.583	120.967
146	HEL	54.600	18.800
148	BALTIMORE	39.267	-76.578
150	AUCKLAND II	-36.843	174.769
154	TRIESTE	45.647	13.758
155	HONOLULU	21.307	-157.867
157	BUENOS AIRES	-34.600	-58.367
158	SAN DIEGO	32.713	-117.173
159	OSHORO I	43.217	140.867
161	GALVESTON II	29.310	-94.793
162	LAGOS	37.100	-8.667
163	BALBOA	8.967	-79.567
164	KOTKA	60.450	26.950
165	TOFINO	49.150	-125.917
166	VICTORIA	48.417	-123.367
167	PRINCE RUPERT	54.317	-130.333
168	VENEZIA	45.433	12.333
169	CRISTOBAL	9.350	-79.917
172	MANTYLUOTO	61.594	21.463
173	QUEBEC	46.833	-71.167
174	KO LAK	11.800	99.817
175	VANCOUVER	49.283	-123.117
176	HARRINGTON HBR	50.500	-59.483
179	SMOGEN	58.354	11.218
180	ATLANTIC CITY	39.355	-74.418
183	PORTLAND 	43.657	-70.247
188	KEY WEST	24.555	-81.807
189	PORT HEDLAND	-20.318	118.574
190	DUNBAR	56.000	-2.517
192	NEUVILLE	46.700	-71.567
193	POINT ATKINSON	49.333	-123.250
194	PIETARSAARI 	63.709	22.690
195	SAINT JOHN	45.267	-66.067
196	SYDNEY	-33.855	151.226
201	DESCHAILLONS	46.567	-72.100
202	NEWLYN	50.103	-5.543
203	FURUOGRUND	64.916	21.231
204	KARACHI	24.812	66.975
205	CHENNAI	13.100	80.300
208	ALICANTE I	38.333	-0.483
209	CADIZ II	36.533	-6.317
210	RANGOON	16.767	96.167
213	BLUFF	-46.598	168.345
214	FELIXSTOWE	51.958	1.347
215	TUAPSE	44.100	39.067
216	PORT PIRIE	-33.178	138.012
217	AUCKLAND-WAITEMATA HARBOUR	-36.843	174.769
219	BELFAST 2	54.600	-5.917
221	WELLINGTON HARBOUR	-41.284	174.780
223	QUEQUEN	-38.583	-58.700
224	LEWES	38.782	-75.120
225	KETCHIKAN	55.332	-131.625
226	SAPPI	61.483	21.333
227	SUR SARI	60.083	26.983
229	KEMI	65.673	24.515
230	PORT LINCOLN	-34.716	135.870
231	HELIGMAN	60.200	19.300
234	CHARLESTON I	32.782	-79.925
235	BOSTON	42.353	-71.053
236	WEST-TERSCHELLING	53.363	5.220
237	PRIMORSK	60.350	28.617
238	TVARMINNE	59.850	23.250
239	TURKU	60.428	22.101
240	RAAHE	64.666	24.407
245	LOS ANGELES	33.720	-118.272
246	PENSACOLA	30.403	-87.210
247	PORT LYTTELTON	-43.606	172.722
248	JOHOR BAHRU	1.462	103.792
249	FOGLO	60.032	20.385
253	PORT SAID	31.250	32.300
255	DOVER	51.114	1.323
256	LA JOLLA	32.867	-117.257
258	PONTA DELGADA	37.736	-25.671
259	LYTTELTON II	-43.606	172.722
260	JOLO	6.067	121.000
265	ASTORIA	46.207	-123.768
266	SEWARD	60.120	-149.427
267	NEWCASTLE III	-32.917	151.800
269	MACAU	22.200	113.550
270	DAYTONA BEACH	29.233	-81.000
271	MOMMARK	54.933	10.067
284	DURBAN	-29.874	31.051
285	KASKINEN	62.344	21.215
286	IMMINGHAM	53.630	-0.187
288	SEAVEY ISLAND	43.080	-70.742
289	KALININGRAD	54.950	20.217
299	SEWELLS POINT	36.947	-76.330
300	HILO	19.730	-155.055
302	TREGDE	58.006	7.555
303	SANTA CRUZ DE TENERIFE I	28.483	-16.233
310	YAMBA	-29.430	153.362
311	ANNAPOLIS	38.983	-76.480
312	NARVIK	68.428	17.426
313	HEIMSJO	63.425	9.102
314	STORNOWAY	58.208	-6.389
315	HAMINA	60.563	27.179
316	MAYPORT	30.393	-81.432
317	BOURGAS	42.483	27.483
318	VARNA	43.183	27.917
320	NEWCASTLE I	-32.917	151.800
330	KLAGSHAMN	55.522	12.894
331	TAKORADI	4.885	-1.745
332	EASTPORT	44.903	-66.982
333	NORTH POINT	22.300	114.200
334	SOUTHEND	51.514	0.724
335	TILBURY	51.467	0.367
350	PORTSMOUTH	50.802	-1.111
351	NEWPORT	41.505	-71.327
352	SPLIT - GRADSKA LUKA	43.507	16.442
353	BAKAR	45.300	14.533
359	MERA	34.919	139.825
360	WASHINGTON DC	38.873	-77.022
361	ABERDEEN I	57.144	-2.077
362	WILLETS POINT	40.793	-73.782
363	MIAMI BEACH	25.768	-80.132
366	SANDY HOOK	40.467	-74.008
367	WOODS HOLE	41.523	-70.672
368	ST. GEORGES	32.373	-64.703
369	CALCUTTA	22.550	88.300
373	THESSALONIKI	40.633	22.935
374	PIRAIEVS	37.937	23.627
375	KAVALLA	40.935	24.412
376	RAUMA	61.134	21.426
377	SANTA MONICA	34.008	-118.500
378	CRESCENT CITY	41.745	-124.182
379	CONSTANTZA	44.167	28.667
384	FRIDAY HARBOR	48.547	-123.010
385	NEAH BAY	48.367	-124.612
386	THEVENARD	-32.149	133.641
387	GRONDINES	46.583	-72.033
392	PORT AUX BASQUES	47.567	-59.133
393	ST. JOHN'S	47.567	-52.717
394	CEBU	10.300	123.917
395	FORT PULASKI	32.033	-80.902
396	WILMINGTON	34.227	-77.953
397	SASSNITZ	54.511	13.643
398	KJOLSDAL	61.917	5.633
399	PORTSMOUTH	36.822	-76.293
401	NEVLUNGHAVN	58.967	9.883
405	JUNEAU	58.298	-134.412
407	UCHIURA	35.017	138.890
408	KHIOS	38.372	26.141
409	POSIDHONIA	37.951	22.960
410	PREVEZA	38.959	20.757
411	KALAMAI	37.024	22.116
412	SOLOMON'S ISLAND	38.317	-76.452
413	OOSTENDE	51.233	2.917
414	VISHAKHAPATNAM	17.683	83.283
417	SAUGOR/SAGAR	21.650	88.050
418	GUANTANAMO BAY	19.907	-75.147
420	BHAUNAGAR I	21.800	72.300
425	ANDENES	69.326	16.135
426	SITKA	57.052	-135.342
427	CHARLOTTETOWN	46.233	-63.117
428	CEDAR KEY II	29.135	-83.032
429	NEW LONDON	41.360	-72.090
430	PROVIDENCE	41.807	-71.400
431	MONTEVIDEO	-34.900	-56.250
432	DUBLIN	53.350	-6.217
433	COLONIA	-34.483	-57.850
434	PUNTA DEL ESTE	-34.967	-54.950
435	DOUGLAS	54.150	-4.467
437	ALAMEDA	37.772	-122.298
438	COCHIN	9.967	76.267
440	EUGENE ISLAND	29.372	-91.385
444	FORT PHRACHULA CHOMKLAO	13.550	100.583
445	YAKUTAT	59.548	-139.733
446	KO TAPHAO NOI	7.833	98.433
447	CHURCHILL	58.767	-94.183
448	PORT ADELAIDE	-34.780	138.481
449	KO SICHANG	13.150	100.817
453	LE HAVRE	49.482	0.106
454	ST. MALO	48.641	-2.028
455	CALAIS	50.969	1.868
456	BUENAVENTURA	3.900	-77.100
457	ST. NAZAIRE	47.270	-2.200
458	MATARANI	-17.000	-72.117
460	HACHINOHE I	40.533	141.533
462	RICHMOND	37.567	-77.450
463	MIYAKO I	39.633	141.967
464	PUNTARENAS	9.967	-84.833
466	LA ROCHELLE-LA PALLICE	46.158	-1.221
467	CHERBOURG	49.651	-1.636
468	DUNKERQUE	51.048	2.367
469	ST JEAN DE LUZ	43.395	-1.682
470	ZEEBRUGGE	51.350	3.200
471	BOULOGNE	50.728	1.577
474	DIEPPE	49.929	1.084
475	TALARA	-4.617	-81.283
477	PORT LOUIS	-20.150	57.500
483	VIGO	42.238	-8.731
484	LA CORUNA I	43.369	-8.398
485	SANTANDER I	43.461	-3.791
486	MALOY	61.934	5.113
487	ADAK  SWEEPER COVE	51.863	-176.632
488	TARIFA	36.009	-5.603
489	NIEUWPOORT	51.150	2.733
490	ALGECIRAS	36.117	-5.433
491	MASSACRE BAY	52.833	173.200
495	SKAGWAY	59.450	-135.327
496	MALAGA	36.713	-4.415
497	PORT ISABEL	26.060	-97.215
498	CEUTA	35.892	-5.316
499	VALPARAISO	-33.027	-71.626
500	WELLINGTON II	-41.284	174.780
501	PUERTO MADRYN	-42.767	-65.033
503	ALEXANDRIA	31.217	29.917
508	PORT SAN LUIS	35.177	-120.760
509	ALESUND	62.469	6.152
510	ANTOFAGASTA 2	-23.653	-70.404
511	ANTOFAGASTA	-23.650	-70.417
513	KWAJALEIN	8.732	167.735
518	KUSHIRO	42.976	144.371
519	MONTAUK	41.048	-71.960
520	ST. PETERSBURG	27.760	-82.627
521	KAHULUI HARBOR	20.895	-156.477
522	LEGASPI	13.150	123.750
523	MIDWAY ISLAND	28.212	-177.360
524	VARDO	70.375	31.104
525	BAR HARBOR	44.392	-68.205
526	GRAND ISLE	29.263	-89.957
527	PORT ALBERNI	49.233	-124.817
528	CHUUK	7.447	151.847
531	EVENSKJAER	68.583	16.550
537	DAVAO	7.083	125.633
538	ROCKPORT	28.022	-97.047
539	PAGO PAGO	-14.280	-170.690
540	APRA HARBOUR	13.438	144.653
541	BARENTSBURG	78.067	14.250
542	IMBITUBA	-28.233	-48.650
543	DIAMOND HARBOUR	22.200	88.167
544	LA LIBERTAD II	-2.200	-80.917
545	KEELUNG II	25.133	121.733
546	YUZHNO KURILSK	44.017	145.867
547	BARENTSBURG II	78.067	14.250
549	CAMP COVE	-33.833	151.283
552	PUERTO LIMON	10.000	-83.033
